icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,extraction_time,data_source,flight_type
39de4f,TVF34QJ,France,1752335405.0,1752335405,-2.4699,36.8037,11887.2,False,233.78,177.48,-0.33,,12519.66,7627.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de4e,TVF3289,France,1752335405.0,1752335405,9.598,45.8748,11582.4,False,211.67,280.93,0.0,,12001.5,7760.0,False,0,2025-07-12T15:50:12.645690,api,real_time
3ffc29,DMFSS,Germany,1752335234.0,1752335234,12.8459,48.1597,769.62,False,42.98,281.04,-0.33,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
a5f852,RTY484,United States,1752335304.0,1752335309,-105.016,40.4625,,True,0.0,295.31,,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
80162c,AXB1171,India,1752335405.0,1752335405,75.6517,27.668,7848.6,False,208.9,26.31,-5.2,,8321.04,,False,0,2025-07-12T15:50:12.645690,api,real_time
ab1644,UAL2004,United States,1752335386.0,1752335388,-97.081,45.954,11262.36,False,257.63,130.46,0.33,,11582.4,,False,0,2025-07-12T15:50:12.645690,api,real_time
80162d,AXB1253,India,1752335201.0,1752335264,83.703,22.6054,10507.98,False,245.81,216.32,5.85,,11056.62,1472.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de4b,TVF13HZ,France,1752335405.0,1752335405,-2.6882,41.4678,11887.2,False,236.55,210.3,0.0,,12367.26,7653.0,False,0,2025-07-12T15:50:12.645690,api,real_time
39de4a,TVF8098,France,1752335405.0,1752335405,2.4215,48.7307,510.54,False,79.37,74.97,8.78,,563.88,,False,0,2025-07-12T15:50:12.645690,api,real_time
a53edd,GPD437,United States,1752335405.0,1752335406,-74.0974,41.1666,2644.14,False,115.89,73.5,4.23,,2796.54,2277.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a77ec5,EJA582,United States,1752335405.0,1752335405,-81.663,41.1229,7414.26,False,203.74,60.0,10.08,,7825.74,7202.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801642,AXB1068,India,1752335390.0,1752335402,89.1664,26.5769,8641.08,False,254.24,271.62,2.93,,9204.96,2620.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ab6fdd,AAL2741,United States,1752335405.0,1752335405,-76.3479,36.9781,10668.0,False,235.46,29.59,0.0,,11292.84,5724.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a5953a,TRF559,United States,1752333606.0,1752335216,-97.0114,33.7121,1242.06,False,57.75,25.88,1.3,,1257.3,,False,0,2025-07-12T15:50:12.645690,api,real_time
a3b87f,DAL1935,United States,1752335399.0,1752335403,-98.4524,29.5174,601.98,False,77.53,129.08,11.7,,624.84,,False,0,2025-07-12T15:50:12.645690,api,real_time
80162e,AIC2957,India,1752335156.0,1752335169,75.533,25.3244,10972.8,False,233.77,217.4,0.0,,11742.42,,False,0,2025-07-12T15:50:12.645690,api,real_time
39de51,TVF46KJ,France,1752335378.0,1752335401,32.4878,34.7145,,True,0.0,64.69,,,,,False,0,2025-07-12T15:50:12.645690,api,real_time
80162f,AIC2400,India,1752335405.0,1752335405,77.469,28.2883,2804.16,False,149.63,125.77,13.66,,2849.88,,False,0,2025-07-12T15:50:12.645690,api,real_time
a60540,N4872H,United States,1752335405.0,1752335405,-72.0377,42.1494,2385.06,False,68.49,177.42,0.0,,2491.74,,False,0,2025-07-12T15:50:12.645690,api,real_time
80163d,IGO2036,India,1752335405.0,1752335405,77.7907,27.0394,6484.62,False,205.96,313.58,-6.5,,6827.52,,False,0,2025-07-12T15:50:12.645690,api,real_time
a27bf2,N25948,United States,1752335117.0,1752335117,-112.2929,33.5307,304.8,False,26.92,206.08,-0.33,,289.56,4413.0,False,0,2025-07-12T15:50:12.645690,api,real_time
ad5608,N9589X,United States,1752335405.0,1752335405,-120.8204,37.9424,2743.2,False,73.78,147.53,-0.65,,2887.98,711.0,False,0,2025-07-12T15:50:12.645690,api,real_time
acdfa6,AAL877,United States,1752335405.0,1752335405,-100.1795,25.4597,7315.2,False,207.97,192.28,0.0,,7772.4,2605.0,False,0,2025-07-12T15:50:12.645690,api,real_time
51111d,MYX9308,Estonia,1752335405.0,1752335405,20.7693,48.0954,10088.88,False,213.28,311.19,-4.55,,10347.96,1000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
801657,AIC2738,India,1752335405.0,1752335405,76.99,28.7604,3657.6,False,142.82,228.21,0.0,,3779.52,,False,0,2025-07-12T15:50:12.645690,api,real_time
a9a0fb,N7198Q,United States,1752335152.0,1752335154,-82.3541,28.0057,30.48,False,41.7,38.99,-10.08,,129.54,,False,0,2025-07-12T15:50:12.645690,api,real_time
a58224,N454N,United States,1752335404.0,1752335405,-80.7066,37.888,12527.28,False,235.45,74.02,-9.43,,13197.84,4033.0,False,0,2025-07-12T15:50:12.645690,api,real_time
407a22,GCLPY,United Kingdom,1752335405.0,1752335405,0.9769,51.9082,586.74,False,60.62,329.95,0.33,,685.8,7000.0,False,0,2025-07-12T15:50:12.645690,api,real_time
a36898,DAL973,United States,1752335405.0,1752335405,-80.6479,36.7579,10980.42,False,232.46,225.63,0.0,,11620.5,3565.0,False,0,2025-07-12T15:50:12.645690,api,real_time
acdfa3,ASA305,United States,1752335405.0,1752335406,-121.1157,47.4446,5494.02,False,207.99,104.17,5.85,,5783.58,1003.0,False,0,2025-07-12T15:50:12.645690,api,real_time
