flight_number,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,aircraft_type,status,gate,extraction_date,data_source,flight_type,flight_duration_minutes
PD2246,PD,MTY,BJR,2025-07-12 16:45:00,2025-07-12 20:45:00,B777,Delayed,B15,2025-07-12,schedule,scheduled,240.0
TS208,TS,SFO,ZQN,2025-07-12 06:00:00,2025-07-12 11:00:00,A350,On Time,A3,2025-07-12,schedule,scheduled,300.0
IC208,IC,AYP,SHC,2025-07-12 06:00:00,2025-07-12 11:15:00,B737,Cancelled,D8,2025-07-12,schedule,scheduled,315.0
MH7585,MH,MTY,OUD,2025-07-12 06:30:00,2025-07-12 12:30:00,A320,On Time,B12,2025-07-12,schedule,scheduled,360.0
VY1593,VY,PER,BOM,2025-07-12 12:15:00,2025-07-12 15:00:00,B787,On Time,A29,2025-07-12,schedule,scheduled,165.0
MS305,MS,YYC,HIJ,2025-07-12 09:15:00,2025-07-12 11:45:00,A320,Cancelled,D37,2025-07-12,schedule,scheduled,150.0
EK7645,EK,IVC,WCA,2025-07-12 07:00:00,2025-07-12 08:30:00,B777,Cancelled,A2,2025-07-12,schedule,scheduled,90.0
MP1743,MP,CAI,CYI,2025-07-12 11:00:00,2025-07-12 15:15:00,A350,Cancelled,C25,2025-07-12,schedule,scheduled,255.0
BR4966,BR,BLR,NJF,2025-07-12 06:45:00,2025-07-12 09:30:00,B737,On Time,C29,2025-07-12,schedule,scheduled,165.0
W59465,W5,YOW,IPC,2025-07-12 17:00:00,2025-07-12 20:15:00,B787,Scheduled,C25,2025-07-12,schedule,scheduled,195.0
PC2456,PC,BJV,LIS,2025-07-12 08:15:00,2025-07-12 10:30:00,B787,On Time,D16,2025-07-12,schedule,scheduled,135.0
PD7004,PD,HBA,TNN,2025-07-12 23:15:00,2025-07-13 01:15:00,B787,Delayed,B21,2025-07-12,schedule,scheduled,120.0
G41263,G4,JUL,MAA,2025-07-12 12:00:00,2025-07-12 13:00:00,B737,Delayed,A27,2025-07-12,schedule,scheduled,60.0
RJ5448,RJ,GAE,WJU,2025-07-12 10:15:00,2025-07-12 11:45:00,A350,Cancelled,C4,2025-07-12,schedule,scheduled,90.0
