"icao24","callsign","origin_country","time_position","last_contact","longitude","latitude","baro_altitude","on_ground","velocity","true_track","vertical_rate","sensors","geo_altitude","squawk","spi","position_source","extraction_time"
"39de4e","TVF11CV","France","1752387672.0","1752387672","-4.8497","38.9838","11574.78","False","255.27","23.52","0.0","","12184.38","6464","False","0","2025-07-13T06:21:19.486464"
"39de4b","TVF93HH","France","1752387671.0","1752387672","2.2808","48.349","6156.96","False","191.65","206.63","12.35","","6400.8","7664","False","0","2025-07-13T06:21:19.486464"
"39de4a","TVF71FP","France","1752387671.0","1752387671","1.5149","45.8655","10668.0","False","230.97","193.26","-0.33","","11094.72","7655","False","0","2025-07-13T06:21:19.486464"
"39de4c","TVF30CJ","France","1752387672.0","1752387672","10.9928","46.4002","11285.22","False","249.98","123.76","0.0","","11681.46","1000","False","0","2025-07-13T06:21:19.486464"
"801643","AXB1956","India","1752387668.0","1752387668","88.4416","22.6443","","True","4.63","185.62","","","","5404","False","0","2025-07-13T06:21:19.486464"
"39de51","TVF16NR","France","1752387666.0","1752387666","-8.6853","41.2637","53.34","False","66.08","168.78","-2.28","","144.78","7625","False","0","2025-07-13T06:21:19.486464"
"39de50","TVF8153","France","1752387672.0","1752387672","9.2207","43.7163","11582.4","False","228.87","356.39","0.0","","12062.46","","False","0","2025-07-13T06:21:19.486464"
"aaf633","UAL362","United States","1752387671.0","1752387671","-120.3614","38.3912","8534.4","False","254.06","73.29","4.55","","9083.04","3252","False","0","2025-07-13T06:21:19.486464"
"80163d","IGO3PK","India","1752387672.0","1752387672","77.444","30.0873","9509.76","False","241.47","4.4","5.85","","10142.22","","False","0","2025-07-13T06:21:19.486464"
"801647","IGO2583","India","1752387634.0","1752387634","77.5757","31.7176","10668.0","False","244.95","3.97","-0.33","","11414.76","","False","0","2025-07-13T06:21:19.486464"
"7c720c","WTA","Australia","1752387672.0","1752387672","153.1215","-27.8757","1287.78","False","62.29","329.2","0.98","","1371.6","","False","0","2025-07-13T06:21:19.486464"
"801619","IGO1117","India","1752387671.0","1752387671","87.2962","22.3577","10668.0","False","240.22","64.37","0.0","","11407.14","0677","False","0","2025-07-13T06:21:19.486464"
"51114b","ESARM","Estonia","1752387672.0","1752387672","24.1893","56.8283","289.56","False","51.17","195.15","0.0","","358.14","","False","0","2025-07-13T06:21:19.486464"
"acdfd3","N929CH","United States","1752387670.0","1752387671","-105.3964","38.3967","5852.16","False","140.89","198.96","-2.6","","6210.3","5167","False","0","2025-07-13T06:21:19.486464"
"80161a","IGO6935","India","1752387460.0","1752387460","72.9989","18.6602","11887.2","False","228.93","359.74","0.0","","12641.58","","False","0","2025-07-13T06:21:19.486464"
"a89eb8","N65452","United States","1752387592.0","1752387592","-117.3799","34.4917","2308.86","False","63.91","22.23","0.65","","2415.54","1200","False","0","2025-07-13T06:21:19.486464"
"8a02cd","GIA895","Indonesia","1752387671.0","1752387671","115.1007","5.4964","12192.0","False","252.69","199.5","0.0","","13014.96","","False","0","2025-07-13T06:21:19.486464"
"39de45","TVF13AU","France","1752387672.0","1752387672","6.249","46.6137","11582.4","False","214.27","299.64","-0.33","","11993.88","1000","False","0","2025-07-13T06:21:19.486464"
"39de47","TVF4434","France","1752387672.0","1752387672","15.9874","43.8181","11887.2","False","245.37","128.36","0.33","","12382.5","7550","False","0","2025-07-13T06:21:19.486464"
"39de40","TVF72TD","France","1752387671.0","1752387671","3.4645","49.0833","3048.0","False","156.24","222.2","0.0","","3169.92","1000","False","0","2025-07-13T06:21:19.486464"
"39de42","TVF29UL","France","1752387536.0","1752387536","2.318","48.7204","121.92","False","64.21","61.79","-2.93","","182.88","1000","False","0","2025-07-13T06:21:19.486464"
"39de41","TVF87LK","France","1752387671.0","1752387671","2.2514","48.6967","411.48","False","63.04","63.85","-2.6","","457.2","1000","False","0","2025-07-13T06:21:19.486464"
"39de44","TVF61LL","France","1752387671.0","1752387671","3.9131","47.1269","11087.1","False","244.83","129.54","3.58","","11483.34","7660","False","0","2025-07-13T06:21:19.486464"
"39de43","TVF3423","France","1752387672.0","1752387672","7.3453","47.2848","11590.02","False","219.73","283.68","0.0","","11978.64","3207","False","0","2025-07-13T06:21:19.486464"
"8a02d5","GIA829","Indonesia","1752387612.0","1752387637","106.7725","-4.7437","9753.6","False","198.23","335.63","0.33","","10401.3","","False","0","2025-07-13T06:21:19.486464"
"511188","MBU6JM","Estonia","1752387671.0","1752387671","20.0267","38.9057","10058.4","False","231.14","170.39","0.0","","10645.14","","False","0","2025-07-13T06:21:19.486464"
"511189","MBU3BE","Estonia","1752387671.0","1752387671","26.976","36.861","6850.38","False","225.87","145.77","-15.61","","7307.58","7443","False","0","2025-07-13T06:21:19.486464"
"4acb03","NSZ5NE","Sweden","1752387671.0","1752387671","13.7121","51.3016","10972.8","False","239.68","185.17","0.0","","11193.78","2256","False","0","2025-07-13T06:21:19.486464"
"4acb02","NSZ21U","Sweden","1752387672.0","1752387672","4.6506","50.1581","11277.6","False","228.13","226.19","-0.33","","11620.5","0710","False","0","2025-07-13T06:21:19.486464"
"801686","AXB2767","India","1752387671.0","1752387671","75.8301","16.233","12192.0","False","250.75","316.75","0.0","","12931.14","","False","0","2025-07-13T06:21:19.486464"
"4acb04","NSZ2116","Sweden","1752387671.0","1752387671","20.7201","56.5086","10309.86","False","260.31","259.18","6.5","","10553.7","3510","False","0","2025-07-13T06:21:19.486464"
"801684","GOA1402","India","1752387665.0","1752387665","75.2665","16.5126","4579.62","False","138.73","63.82","0.0","","4792.98","","False","0","2025-07-13T06:21:19.486464"
"4a32a3","YRLUC","Romania","1752387672.0","1752387672","24.3479","43.3485","3657.6","False","62.66","12.32","0.0","","3863.34","","False","0","2025-07-13T06:21:19.486464"
"4bc8c6","PGT1911","Turkey","1752387656.0","1752387656","29.6079","39.7617","6621.78","False","203.77","331.17","-4.88","","7078.98","2577","False","0","2025-07-13T06:21:19.486464"
"4bc8c1","PGT703","Turkey","1752387671.0","1752387671","37.6448","40.2087","10363.2","False","224.36","275.66","0.0","","11094.72","","False","0","2025-07-13T06:21:19.486464"
"80167f","AIC2523","India","1752387671.0","1752387671","77.5872","28.1805","5181.6","False","205.0","70.66","0.0","","5410.2","","False","0","2025-07-13T06:21:19.486464"
"511171","MBU3TS","Estonia","1752387672.0","1752387672","-4.1504","39.3723","10797.54","False","205.54","228.45","-4.23","","11376.66","6660","False","0","2025-07-13T06:21:19.486464"
"511170","MBU6VG","Estonia","1752387672.0","1752387672","2.59","39.4444","2080.26","False","141.88","160.51","6.18","","2217.42","","False","0","2025-07-13T06:21:19.486464"
"80164e","AIC217","India","1752387668.0","1752387668","81.7261","27.0793","10675.62","False","234.89","94.77","0.0","","11399.52","","False","0","2025-07-13T06:21:19.486464"
"a35592","JBU2620","United States","1752387665.0","1752387670","-71.0173","42.3678","","True","0.0","213.75","","","","1353","False","0","2025-07-13T06:21:19.486464"
"80164c","IGO648","India","1752387671.0","1752387671","76.9888","29.6102","11582.4","False","232.92","210.53","0.0","","12382.5","","False","0","2025-07-13T06:21:19.486464"
"471efb","WMT114","Hungary","1752387671.0","1752387671","9.4192","46.6862","9174.48","False","256.1","115.59","7.8","","9525.0","6744","False","0","2025-07-13T06:21:19.486464"
"47b217","NBT51Z","Norway","1752387671.0","1752387671","-117.3145","34.4001","6888.48","False","253.16","51.1","6.83","","7391.4","7367","False","0","2025-07-13T06:21:19.486464"
"471efe","WMT5956","Hungary","1752387380.0","1752387382","12.1592","45.6393","99.06","False","69.36","69.15","-3.58","","175.26","1340","False","0","2025-07-13T06:21:19.486464"
"471efc","WMT8MZ","Hungary","1752387671.0","1752387671","8.3743","45.1453","9753.6","False","214.31","273.03","0.0","","10149.84","5220","False","0","2025-07-13T06:21:19.486464"
"801661","IGO5249","India","1752387671.0","1752387672","76.5801","28.8272","3352.8","False","124.81","276.63","0.0","","3444.24","","False","0","2025-07-13T06:21:19.486464"
"801662","IGO1153","India","1752387671.0","1752387671","77.9455","27.9808","8321.04","False","192.21","126.07","7.48","","8823.96","","False","0","2025-07-13T06:21:19.486464"
"ac3688","SWA2492","United States","1752387668.0","1752387668","-86.6803","36.1287","","True","13.89","16.88","","","","1406","False","0","2025-07-13T06:21:19.486464"
"51118a","MBU6238","Estonia","1752387671.0","1752387671","20.9327","39.5964","10668.0","False","239.34","152.06","0.0","","11277.6","","False","0","2025-07-13T06:21:19.486464"
"44029f","AUA9201","Austria","1752387629.0","1752387656","30.5167","37.2409","2766.06","False","133.51","186.19","0.0","","2971.8","7107","False","0","2025-07-13T06:21:19.486464"
"80165c","AXB264","India","1752387671.0","1752387671","88.9667","19.1876","10668.0","False","228.89","98.53","-0.33","","11369.04","6423","False","0","2025-07-13T06:21:19.486464"
"e8026e","LNE1426","Chile","1752387671.0","1752387671","-78.2619","-5.1145","9761.22","False","233.37","356.97","0.33","","10431.78","","False","0","2025-07-13T06:21:19.486464"
"801674","AIC379","India","1752387672.0","1752387672","76.69","28.758","1440.18","False","92.64","144.72","-2.6","","1394.46","","False","0","2025-07-13T06:21:19.486464"
"3442c2","ANE19KG","Spain","1752387672.0","1752387672","-3.4629","39.7562","5372.1","False","110.39","190.47","0.33","","5669.28","5067","False","0","2025-07-13T06:21:19.486464"
"abf025","SWA1670","United States","1752387672.0","1752387672","-101.5746","33.7557","1775.46","False","134.82","296.76","-2.6","","1866.9","","False","0","2025-07-13T06:21:19.486464"
