icao24,callsign,origin_country,time_position,last_contact,longitude,latitude,baro_altitude,on_ground,velocity,true_track,vertical_rate,sensors,geo_altitude,squawk,spi,position_source,data_source,extraction_time,data_timestamp,altitude,speed,heading,region
39de4f,TVF34QJ,France,1752334383.0,1752334384,-2.4666,38.9795,11864.34,False,244.82,171.78,0.0,,12420.6,7627,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11864.34,244.82,171.78,Europe
39de4e,TVF3289,France,1752334384.0,1752334384,12.2766,45.474,11582.4,False,210.65,282.98,0.0,,11993.88,7760,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,210.65,282.98,Europe
3ffc29,DMFSS,Germany,1752334141.0,1752334141,13.338,47.9323,998.22,False,38.58,323.13,-0.33,,,7000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,998.22,38.58,323.13,Europe
a5f852,RTY484,United States,1752334375.0,1752334375,-105.0127,40.4555,,True,8.23,340.31,,,,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,8.23,340.31,North America
a09281,N136LM,United States,1752334384.0,1752334384,-84.5279,34.1105,731.52,False,57.53,205.42,0.0,,815.34,1336,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,731.52,57.53,205.42,North America
80162d,AXB1253,India,1752334384.0,1752334384,84.8459,24.0278,9151.62,False,225.74,216.66,-0.33,,9753.6,1472,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9151.62,225.74,216.66,Asia
39de4b,TVF13HZ,France,1752334384.0,1752334384,-1.256,43.3415,11894.82,False,228.36,208.53,0.33,,12359.64,7653,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11894.82,228.36,208.53,Europe
801645,AIC2985,India,1752334384.0,1752334384,76.0353,25.3019,10363.2,False,243.05,235.0,0.0,,11079.48,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10363.2,243.05,235.0,Asia
ab6fdd,AAL2741,United States,1752334384.0,1752334384,-78.4962,35.7589,10561.32,False,236.87,71.25,6.83,,11186.16,5724,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10561.32,236.87,71.25,North America
a5953a,TRF559,United States,1752333606.0,1752334361,-97.0114,33.7121,1242.06,False,31.91,181.85,3.9,,1257.3,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1242.06,31.91,181.85,North America
801643,AXB1954,India,1752334193.0,1752334193,90.4545,26.216,5494.02,False,173.21,105.15,-7.48,,5798.82,5411,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,5494.02,173.21,105.15,Asia
80162e,AIC2957,India,1752334383.0,1752334383,76.6556,26.7754,8763.0,False,232.73,200.04,5.53,,9319.26,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8763.0,232.73,200.04,Asia
3ffc21,DMADH,Germany,1752334384.0,1752334384,7.4752,51.8068,548.64,False,53.38,259.45,0.65,,594.36,7000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,548.64,53.38,259.45,Europe
aaf633,UAL1858,United States,1752334314.0,1752334314,-77.4468,38.9464,,True,2.83,194.06,,,,7015,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,2.83,194.06,North America
a60540,N4872H,United States,1752334384.0,1752334384,-71.9261,42.7383,2385.06,False,65.36,208.18,-0.33,,2491.74,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2385.06,65.36,208.18,North America
80163d,IGO2036,India,1752334379.0,1752334379,79.4836,25.5678,11582.4,False,240.83,314.31,0.33,,12382.5,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11582.4,240.83,314.31,Asia
a27bf2,N25948,United States,1752334384.0,1752334384,-112.312,33.4906,640.08,False,40.34,127.75,1.95,,647.7,1200,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,640.08,40.34,127.75,North America
ad5608,N9589X,United States,1752334384.0,1752334384,-121.2286,38.3934,2286.0,False,45.48,142.35,2.6,,2400.3,4012,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,2286.0,45.48,142.35,North America
acdfa5,N929AM,United States,1752334382.0,1752334384,-74.1451,41.1627,967.74,False,86.21,149.92,-3.25,,1013.46,3060,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,967.74,86.21,149.92,North America
acdfa6,AAL877,United States,1752334384.0,1752334384,-99.5771,27.2827,7315.2,False,208.26,197.54,0.0,,7764.78,2605,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,7315.2,208.26,197.54,North America
ac4963,DAL2415,United States,1752334383.0,1752334383,-103.881,45.7963,10363.2,False,223.11,279.29,0.0,,10789.92,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10363.2,223.11,279.29,North America
51111d,MYX9308,Estonia,1752334384.0,1752334384,23.0574,46.7035,10378.44,False,229.34,312.82,0.65,,10698.48,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10378.44,229.34,312.82,Europe
801657,AIC2738,India,1752334384.0,1752334384,78.6513,28.0597,9898.38,False,241.41,292.03,-5.2,,10561.32,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9898.38,241.41,292.03,Asia
a3b88e,AAL1066,United States,1752334384.0,1752334384,-97.0541,33.0047,655.32,False,79.74,180.0,-3.58,,701.04,7415,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,655.32,79.74,180.0,North America
a58224,N454N,United States,1752334384.0,1752334384,-83.2667,37.278,13106.4,False,229.59,72.66,0.0,,13761.72,2144,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,13106.4,229.59,72.66,North America
407a22,GCLPY,United Kingdom,1752334362.0,1752334381,1.0361,52.3027,312.42,False,66.2,230.99,-2.28,,403.86,7000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,312.42,66.2,230.99,Europe
a36898,DAL973,United States,1752334384.0,1752334385,-78.6655,38.1669,10363.2,False,228.11,232.98,0.0,,10965.18,3565,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,10363.2,228.11,232.98,North America
a41ee6,N365AG,United States,1752334384.0,1752334384,-83.4974,41.5203,9296.4,False,227.59,198.72,8.78,,9822.18,7444,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,9296.4,227.59,198.72,North America
511162,RAM1642,Estonia,1752334384.0,1752334384,-5.9583,36.3368,5760.72,False,212.38,8.78,11.38,,6103.62,6456,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,5760.72,212.38,8.78,Europe
a4c54a,N4060G,United States,1752334377.0,1752334377,-115.1997,36.2072,,True,4.37,45.0,,,,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,,4.37,45.0,North America
511163,RAM8694,Estonia,1752334384.0,1752334384,2.8298,44.4266,11590.02,False,245.7,52.91,0.0,,12047.22,1000,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,11590.02,245.7,52.91,Europe
a3ebe8,N3517Y,United States,1752334384.0,1752334384,-83.894,38.5054,1981.2,False,63.01,76.3,2.28,,2080.26,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,1981.2,63.01,76.3,North America
801616,IGO876,India,1752334384.0,1752334384,76.4621,12.0364,8656.32,False,223.75,43.98,5.85,,9151.62,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,8656.32,223.75,43.98,Other
a5954e,UAL2246,United States,1752334383.0,1752334383,-104.2955,39.3201,4312.92,False,149.36,289.31,-16.26,,4572.0,7414,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,4312.92,149.36,289.31,North America
abacb6,SCX8929,United States,1752334384.0,1752334384,-84.9666,40.9115,7840.98,False,209.12,111.96,-10.4,,8267.7,7022,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,7840.98,209.12,111.96,North America
51114b,ESARM,Estonia,1752334105.0,1752334105,24.2639,57.1032,22.86,False,46.37,319.95,-8.45,,91.44,,False,0,opensky,2025-07-12T15:33:07.832100,1752334385,22.86,46.37,319.95,Europe
