flight_number,airline,origin_airport,destination_airport,scheduled_departure,scheduled_arrival,aircraft_type,status,gate,extraction_date,data_source,flight_type,flight_duration_minutes
WF4355,WF,TZX,TUN,2025-07-13 00:00:00,2025-07-13 05:00:00,B787,Delayed,D21,2025-07-12,schedule,scheduled,300.0
OS7424,OS,SLL,KHH,2025-07-12 20:45:00,2025-07-13 03:30:00,B787,On Time,D27,2025-07-12,schedule,scheduled,405.0
P59850,P5,WAW,LAX,2025-07-12 18:30:00,2025-07-12 20:45:00,B777,Delayed,D10,2025-07-12,schedule,scheduled,135.0
W5148,W5,CHM,CUN,2025-07-12 15:15:00,2025-07-12 22:00:00,A320,Scheduled,A23,2025-07-12,schedule,scheduled,405.0
FJ9889,FJ,CNS,MFK,2025-07-12 21:15:00,2025-07-13 00:45:00,B787,On Time,D49,2025-07-12,schedule,scheduled,210.0
UA6443,UA,TAB,TRU,2025-07-12 14:45:00,2025-07-12 20:15:00,A350,On Time,D6,2025-07-12,schedule,scheduled,330.0
AC8887,AC,FOR,YNY,2025-07-12 10:45:00,2025-07-12 11:45:00,A320,Cancelled,D15,2025-07-12,schedule,scheduled,60.0
ZX3888,ZX,KMG,LST,2025-07-12 09:15:00,2025-07-12 12:00:00,B787,Scheduled,D33,2025-07-12,schedule,scheduled,165.0
AC7998,AC,CGH,CUC,2025-07-12 14:15:00,2025-07-12 16:45:00,B777,Delayed,B33,2025-07-12,schedule,scheduled,150.0
KE4642,KE,CHC,IST,2025-07-13 00:45:00,2025-07-13 06:30:00,B787,On Time,C19,2025-07-12,schedule,scheduled,345.0
GA652,GA,TTU,PLZ,2025-07-12 16:00:00,2025-07-12 18:00:00,A320,On Time,A45,2025-07-12,schedule,scheduled,120.0
HC5062,HC,TSN,CEB,2025-07-12 19:00:00,2025-07-12 21:30:00,A350,Delayed,B2,2025-07-12,schedule,scheduled,150.0
CI1326,CI,MUH,COK,2025-07-12 21:15:00,2025-07-12 23:15:00,B777,On Time,D3,2025-07-12,schedule,scheduled,120.0
HV1804,HV,SFS,AHB,2025-07-12 21:00:00,2025-07-12 22:45:00,A320,On Time,A14,2025-07-12,schedule,scheduled,105.0
YM2937,YM,TRU,MUC,2025-07-12 15:00:00,2025-07-12 17:45:00,B787,Scheduled,C5,2025-07-12,schedule,scheduled,165.0
AZ1318,AZ,TZX,CUC,2025-07-12 12:15:00,2025-07-12 15:00:00,A350,Delayed,C5,2025-07-12,schedule,scheduled,165.0
DJ3103,DJ,VDA,MIA,2025-07-12 22:30:00,2025-07-13 02:45:00,A320,On Time,A35,2025-07-12,schedule,scheduled,255.0
SY5907,SY,TSN,IST,2025-07-12 06:45:00,2025-07-12 07:45:00,A320,Scheduled,A11,2025-07-12,schedule,scheduled,60.0
SW7171,SW,USN,MZG,2025-07-12 11:45:00,2025-07-12 13:15:00,B777,Scheduled,B20,2025-07-12,schedule,scheduled,90.0
I51454,I5,BSR,AKL,2025-07-12 12:00:00,2025-07-12 14:15:00,B787,On Time,B34,2025-07-12,schedule,scheduled,135.0
DL5672,DL,DXB,ELS,2025-07-12 20:30:00,2025-07-13 01:00:00,B737,Scheduled,B42,2025-07-12,schedule,scheduled,270.0
SY1417,SY,KZN,YYZ,2025-07-12 21:15:00,2025-07-12 22:45:00,B787,Cancelled,A43,2025-07-12,schedule,scheduled,90.0
YM5617,YM,PUS,VDA,2025-07-12 12:45:00,2025-07-12 16:00:00,B737,On Time,B1,2025-07-12,schedule,scheduled,195.0
TK9073,TK,TSN,EIL,2025-07-12 17:15:00,2025-07-12 22:15:00,A320,Scheduled,A29,2025-07-12,schedule,scheduled,300.0
ET979,ET,YHZ,ILO,2025-07-13 00:00:00,2025-07-13 04:00:00,B777,Delayed,B27,2025-07-12,schedule,scheduled,240.0
MP6145,MP,HIJ,CEB,2025-07-12 20:00:00,2025-07-13 02:15:00,A320,Scheduled,A21,2025-07-12,schedule,scheduled,375.0
SN5467,SN,MCO,BCD,2025-07-12 11:45:00,2025-07-12 14:00:00,B777,Delayed,A19,2025-07-12,schedule,scheduled,135.0
TG3638,TG,TNG,CHM,2025-07-12 23:15:00,2025-07-13 02:15:00,A350,Cancelled,C32,2025-07-12,schedule,scheduled,180.0
AZ1842,AZ,NQN,SEA,2025-07-12 06:30:00,2025-07-12 11:30:00,B787,Scheduled,D7,2025-07-12,schedule,scheduled,300.0
OS1081,OS,YYZ,HTY,2025-07-12 08:30:00,2025-07-12 10:30:00,A350,On Time,B35,2025-07-12,schedule,scheduled,120.0
SN4328,SN,BAQ,ASW,2025-07-12 14:15:00,2025-07-12 17:30:00,B737,Delayed,A18,2025-07-12,schedule,scheduled,195.0
UK2185,UK,AMD,YYC,2025-07-12 16:00:00,2025-07-12 21:15:00,B777,Delayed,B28,2025-07-12,schedule,scheduled,315.0
PD7331,PD,DTW,HDS,2025-07-12 23:15:00,2025-07-13 02:45:00,B777,Scheduled,B17,2025-07-12,schedule,scheduled,210.0
I5773,I5,EMY,CAI,2025-07-12 12:00:00,2025-07-12 15:45:00,B787,Delayed,A29,2025-07-12,schedule,scheduled,225.0
NZ9752,NZ,WJU,KHH,2025-07-12 21:45:00,2025-07-12 23:45:00,A350,On Time,D9,2025-07-12,schedule,scheduled,120.0
ET394,ET,BRC,TTU,2025-07-12 21:45:00,2025-07-13 01:00:00,B777,Scheduled,D50,2025-07-12,schedule,scheduled,195.0
FJ2291,FJ,BJR,TUN,2025-07-12 06:15:00,2025-07-12 09:30:00,B777,Delayed,B28,2025-07-12,schedule,scheduled,195.0
LP4991,LP,HYD,PRG,2025-07-12 07:30:00,2025-07-12 10:00:00,B777,Cancelled,A9,2025-07-12,schedule,scheduled,150.0
AA2225,AA,CWB,BEV,2025-07-12 21:15:00,2025-07-13 00:45:00,A350,Cancelled,A36,2025-07-12,schedule,scheduled,210.0
6E5970,6E,MED,YOW,2025-07-12 06:45:00,2025-07-12 13:30:00,A320,Delayed,A22,2025-07-12,schedule,scheduled,405.0
LA483,LA,ILO,SDU,2025-07-12 10:45:00,2025-07-12 12:15:00,A320,Cancelled,D7,2025-07-12,schedule,scheduled,90.0
TP2770,TP,CJC,YYZ,2025-07-12 14:15:00,2025-07-12 17:45:00,B787,On Time,A23,2025-07-12,schedule,scheduled,210.0
RO3974,RO,HMO,HKG,2025-07-12 23:45:00,2025-07-13 02:00:00,B787,Delayed,C32,2025-07-12,schedule,scheduled,135.0
BL421,BL,CAN,EBM,2025-07-12 07:30:00,2025-07-12 13:45:00,B777,Scheduled,A24,2025-07-12,schedule,scheduled,375.0
AV5259,AV,BGW,IQT,2025-07-12 23:45:00,2025-07-13 00:45:00,B787,Cancelled,B41,2025-07-12,schedule,scheduled,60.0
LO7493,LO,FOR,ASW,2025-07-12 22:15:00,2025-07-13 01:30:00,A350,Delayed,C49,2025-07-12,schedule,scheduled,195.0
BA2081,BA,KWJ,LST,2025-07-12 22:45:00,2025-07-13 03:45:00,B777,On Time,A40,2025-07-12,schedule,scheduled,300.0
G44542,G4,KAN,AWA,2025-07-12 19:00:00,2025-07-13 01:15:00,B777,Scheduled,D44,2025-07-12,schedule,scheduled,375.0
FZ1069,FZ,ADD,YEG,2025-07-12 09:15:00,2025-07-12 15:15:00,A320,Delayed,C3,2025-07-12,schedule,scheduled,360.0
ZX4180,ZX,AWA,VDA,2025-07-12 06:15:00,2025-07-12 08:15:00,B737,Cancelled,A38,2025-07-12,schedule,scheduled,120.0
SN2701,SN,PIU,MQP,2025-07-12 06:45:00,2025-07-12 09:00:00,B787,Delayed,C22,2025-07-12,schedule,scheduled,135.0
U25979,U2,LTX,AEP,2025-07-12 08:00:00,2025-07-12 10:30:00,B737,Cancelled,B9,2025-07-12,schedule,scheduled,150.0
IB9750,IB,MQX,FEZ,2025-07-12 08:00:00,2025-07-12 11:15:00,B787,Delayed,D28,2025-07-12,schedule,scheduled,195.0
YM2862,YM,YWG,LHR,2025-07-12 14:00:00,2025-07-12 19:15:00,A350,Cancelled,D44,2025-07-12,schedule,scheduled,315.0
QF7909,QF,OUD,MUH,2025-07-12 06:45:00,2025-07-12 10:15:00,A320,Cancelled,B7,2025-07-12,schedule,scheduled,210.0
VN5251,VN,RMF,ADL,2025-07-12 23:30:00,2025-07-13 03:15:00,B777,Scheduled,C43,2025-07-12,schedule,scheduled,225.0
HC3856,HC,TAK,WCA,2025-07-12 10:15:00,2025-07-12 11:30:00,B737,Scheduled,C26,2025-07-12,schedule,scheduled,75.0
RO5987,RO,OCC,EBM,2025-07-12 20:15:00,2025-07-13 02:45:00,A320,On Time,D7,2025-07-12,schedule,scheduled,390.0
LH4199,LH,DWC,EBL,2025-07-12 15:15:00,2025-07-12 17:00:00,B787,Cancelled,B28,2025-07-12,schedule,scheduled,105.0
SN3502,SN,ROT,KUL,2025-07-12 16:30:00,2025-07-12 18:30:00,B737,Cancelled,D45,2025-07-12,schedule,scheduled,120.0
ZX8136,ZX,TRU,KIX,2025-07-12 10:00:00,2025-07-12 16:15:00,B777,Cancelled,B39,2025-07-12,schedule,scheduled,375.0
DT6195,DT,IVC,CJC,2025-07-12 14:30:00,2025-07-12 19:45:00,A350,Cancelled,D32,2025-07-12,schedule,scheduled,315.0
ZX1611,ZX,MIR,EUN,2025-07-12 11:00:00,2025-07-12 13:15:00,B777,Delayed,D33,2025-07-12,schedule,scheduled,135.0
FZ5706,FZ,LSC,PUS,2025-07-12 16:45:00,2025-07-12 17:45:00,B787,Scheduled,D44,2025-07-12,schedule,scheduled,60.0
FZ7309,FZ,OGL,ANF,2025-07-12 20:00:00,2025-07-12 23:00:00,B787,Scheduled,B39,2025-07-12,schedule,scheduled,180.0
QR9250,QR,BKK,KUL,2025-07-12 18:45:00,2025-07-12 23:00:00,B737,Scheduled,C10,2025-07-12,schedule,scheduled,255.0
VY1691,VY,DJE,DVO,2025-07-12 12:45:00,2025-07-12 19:00:00,A320,Delayed,D4,2025-07-12,schedule,scheduled,375.0
